	TCGA-91-6828-01A	TCGA-86-6562-01A	TCGA-55-8094-01A	TCGA-67-3771-01A	TCGA-49-AARN-01A
ENSG00000006432.15	1162	2236	835	2688	544
ENSG00000006451.8	1844	3786	3163	2203	1481
ENSG00000006453.14	793	3951	3009	1621	2361
ENSG00000006459.11	1345	2733	1461	1261	993
ENSG00000006468.14	599	1849	128	461	1005
ENSG00000006530.18	584	1212	1298	804	687
ENSG00000006534.16	1025	1985	10855	2919	2717
ENSG00000006555.11	171	564	700	812	758
ENSG00000006576.16	1292	2527	1429	1363	716
ENSG00000006606.9	1	22	156	33	6
ENSG00000006607.14	2006	1480	1999	981	1015
ENSG00000006611.17	7	1	482	62	1380
ENSG00000006625.18	255	1125	1576	560	900
ENSG00000006634.8	230	714	607	547	282
ENSG00000006638.13	51	149	79	321	89
ENSG00000006652.15	146	208	754	424	289
ENSG00000006659.13	0	0	2	0	0
ENSG00000006695.12	409	873	1613	475	301
ENSG00000006704.11	655	1218	1822	1023	991
ENSG00000006712.15	1211	2037	2579	2110	2417
ENSG00000006715.16	2299	5988	1939	3913	1525
ENSG00000006740.17	601	734	245	475	332
ENSG00000006744.19	1115	2530	4351	1942	1465
ENSG00000006747.15	2001	3841	1380	193	622
ENSG00000006756.16	1671	4030	5899	1264	3304
ENSG00000006757.12	226	656	363	407	650
ENSG00000006788.14	0	2	2	7	4
ENSG00000006831.10	2773	3146	12799	1683	1655
ENSG00000006837.12	10	6	21	15	24
ENSG00000007001.13	0	12	1	4	2
ENSG00000007038.11	3	20	113	747	342
ENSG00000007047.15	863	1372	948	1313	1060
ENSG00000007062.12	7200	12	8795	2024	1386
ENSG00000007080.11	747	1707	2944	899	1465
ENSG00000007129.18	39	22	3	140	55
ENSG00000007168.14	3828	6936	3007	3649	1985
ENSG00000007171.18	28	29	11	2549	19
ENSG00000007174.18	0	4	2	11	151
ENSG00000007202.15	4139	5685	5607	4126	2643
ENSG00000007216.15	1006	200	140	75	31
ENSG00000007237.19	929	1784	90	1136	851
ENSG00000007255.10	546	931	897	616	914
ENSG00000007264.15	70	82	15	79	87
